City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Metro,ID,-5.1131,105.3067,78.82,79,100,3.62,overcast clouds
141,Macherla,IN,16.4833,79.4333,71.17,82,97,2.95,overcast clouds
142,San Lorenzo,PY,-25.3333,-57.5333,67.14,88,100,4.61,overcast clouds
143,Saint-Leu,RE,-21.15,55.2833,75.96,82,22,3.38,few clouds
144,Castro,BR,-24.7911,-50.0119,62.4,70,64,3.98,broken clouds
145,Ahuimanu,US,21.4447,-157.8378,81.61,65,75,12.66,broken clouds
146,Usinsk,RU,65.9939,57.5281,25.07,97,100,11.1,snow
147,Mandalgovi,MN,45.7625,106.2708,23.79,61,100,13.65,overcast clouds
148,Ejido,VE,8.5514,-71.2375,66.83,93,91,2.44,overcast clouds
149,Tawang,IN,27.5833,91.8667,38.82,41,0,4.41,clear sky
150,Purgstall,AT,48.0584,15.1348,47.75,90,98,3.74,overcast clouds
151,Baiquan,CN,47.5833,126.0833,35.49,43,100,13.91,overcast clouds
152,Dunedin,NZ,-45.8742,170.5036,59.81,61,48,18.01,scattered clouds
153,Madang,PG,-5.2246,145.7966,87.48,60,100,2.3,overcast clouds
154,Iqaluit,CA,63.7506,-68.5145,-4.31,76,71,15.01,broken clouds
155,Virginia Beach,US,36.8529,-75.978,67.01,90,100,6.91,overcast clouds
156,Baglung,NP,28.2719,83.5898,52.27,74,20,6.53,few clouds
