City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Navalmoral De La Mata,ES,54.95,clear sky,39.8916,-5.5406,Hotel Moya S A
390,Dulce Nombre De Culmi,HN,70.38,overcast clouds,15.1,-85.5333,Hotel Zuniama
391,Kawalu,ID,78.24,overcast clouds,-7.3817,108.2082,West Jontor
394,Pisco,PE,62.65,mist,-13.7,-76.2167,Hotel San Isidro Oficial
396,Guerrero Negro,MX,64.11,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
397,Kalmunai,LK,76.55,overcast clouds,7.4167,81.8167,VS Villa
399,Umarkot,PK,71.87,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
401,Hendek,TR,45.05,clear sky,40.7994,30.7481,Nal Kiz Ogrenci Evi
402,Puerto Del Rosario,ES,71.35,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
405,Pacific Grove,US,58.42,clear sky,36.6177,-121.9166,Lovers Point Inn
407,Kollam,IN,76.37,scattered clouds,8.8833,76.6,The Raviz Ashtamudi
408,Ilhabela,BR,70.72,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
414,Dalbandin,PK,61.99,overcast clouds,28.8947,64.4101,Sanjrani House
415,Lata,PT,51.08,few clouds,40.1629,-8.3327,Casa Maquia
417,Hamilton,US,63.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
418,Faya,SA,53.71,clear sky,18.3851,42.4509,شيلة نسايم
420,Ketou,BJ,75.85,overcast clouds,7.3633,2.5998,Residences Celine Hotel Ketou
421,Luanda,AO,75.51,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
422,Ulladulla,AU,74.16,overcast clouds,-35.35,150.4667,Sandpiper Motel
424,Iwaki,JP,65.77,clear sky,37.05,140.8833,Toyoko Inn Iwaki Ekimae
426,Te Anau,NZ,70.39,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
430,Khani,GE,42.37,broken clouds,41.9563,42.9566,Guest House Kakasxidi სასტუმრო კაკასხიდი
432,Kolomyya,UA,46.22,broken clouds,48.5306,25.0403,On The Corner Bed and Breakfast
433,Calbuco,CL,56.41,light rain,-41.768,-73.1273,Hotel Colonial
434,Kita,ML,70.07,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
435,Brest,BY,42.66,few clouds,52.1,23.7,Yenergija Gostinica Filial Rup Brestyenergo
437,Ibra,OM,69.8,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
438,Gamba,GA,73.02,light rain,-2.65,10.0,
439,Huainan,CN,68.76,clear sky,32.6264,116.9969,GME Huainan Tianjiaan District Chaoyang East Road Hotel
440,Archidona,ES,57.4,clear sky,37.0965,-4.3887,Hotel Escua
444,Sao Filipe,CV,77.34,overcast clouds,14.8961,-24.4956,Hotel Xaguate
445,Semme,FR,45.01,scattered clouds,46.1963,1.5007,Inter-Hotel Alexia
446,Qui Nhon,VN,77.76,broken clouds,13.7667,109.2333,Seagull Hotel
448,Gwadar,PK,78.28,clear sky,25.1216,62.3254,Sadaf Resort
451,Papara,BR,79.2,clear sky,-3.9839,-38.7273,CAMPOS MARANGUAPE
452,Peniche,PT,59.29,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
456,Marzuq,YE,62.91,clear sky,14.4,46.4667,حيد القفلة
457,Ladyzhyn,UA,46.94,overcast clouds,48.685,29.2368,Lisovyy
462,Hualmay,PE,64.11,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
464,Preobrazheniye,RU,45.39,broken clouds,42.9019,133.9064,Campsite Orlan
466,Port Pirie,AU,74.57,broken clouds,-33.1833,138.0167,John Pirie Motor Inn
467,Umarkhed,IN,62.38,clear sky,19.6,77.7,Nazim thekedar house
468,Okato,NZ,57.9,light rain,-39.2,173.8833,Goodin Country Garden
471,Manta,EC,71.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
473,Ouesso,CG,69.57,overcast clouds,1.6136,16.0517,ABENIE Hotel
474,Samdari,IN,69.37,clear sky,25.8167,72.5833,Karnoba Ki Dhani
475,Valparaiso,CL,59.47,broken clouds,-33.0393,-71.6273,Hotel Ultramar
476,Taft,IR,49.95,scattered clouds,31.7471,54.2088,عمارت ساعتی تفت
477,Tura,IN,63.84,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
478,Kapit,MY,78.87,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
479,Manzanillo,CU,76.35,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
480,Nicolas Bravo,MX,71.42,few clouds,18.45,-88.9167,
